id,eo,en
Normala,Normala,Normal
Senfina,Senfina,Infinite
Eliri,Eliri,Exit
Agordoj,Agordoj,Settings
Pri,Pri,About
Fontkodo,Fontkodo,Source Code
Atribuoj,Atribuoj,Attributions
Muzikoj,Muzikoj,Musics
Sonoj,Sonoj,Sounds

